yearmonth	actor1	actor2	impressionVal	accumulativeVal	deepVal	windowMeanVal	meanVal	interactionVal
200211	CHN	USA	2.590832872941325	0.4329095299759448	1.5386609781191718	1.667561366704643	1.845341614906829	0.775318965848346
200212	CHN	USA	2.850962931070586	0.44392035597329726	1.765649650751702	1.9671747631858416	2.068662674650695	2.9283564223021488
200301	CHN	USA	2.4636619547036274	0.2785431895778962	1.29303334332785	1.8463211688410874	1.6249592169657383	2.8724510615511964
200302	CHN	USA	2.002672948998368	1.3288334645266024	1.0086680906119554	1.6585237833667286	1.2819494584837527	2.4203373879318812
200303	CHN	USA	1.043957554731289	1.3404974482400744	0.2606212920185029	1.1276607650271313	0.4760736196319027	0.8000902086814601
200304	CHN	USA	3.0728746723839793	1.3071763657660858	2.700367131404545	1.5173850358185044	2.7941320293398575	5.372262404614808
200305	CHN	USA	3.066332348700281	0.40113561940412173	1.7276850296688129	1.8017828353715377	2.1351428571428537	0.5401947815023022
200306	CHN	USA	3.779655163825584	0.8372146223257869	2.4644277345730714	2.584775130511072	2.825050505050505	1.804506654415208
200307	CHN	USA	3.9281972252229136	0.8379263878627297	2.3758344967398655	2.593838963868375	2.821323529411767	3.254081779044023
200308	CHN	USA	4.074685887421673	0.5423809142836838	2.441057188431177	2.848791344820757	2.8999999999999986	5.825588686893667
200309	CHN	USA	3.6501862518734516	2.6070220363368826	1.9809247380390724	2.7241056356317372	2.4509933774834454	2.6644284504012234
200310	CHN	USA	3.2727733097089455	4.877782742312922	1.799963980649852	2.5195648423029118	2.207701149425291	6.197621705598491
200311	CHN	USA	3.6041601100118115	7.551830869461606	2.296926692290829	2.4398729655522122	2.6609243697479017	6.207146620156345
200312	CHN	USA	3.0959917247878925	5.285186942669599	1.6101707190146368	2.300796320011138	2.0337634408602216	11.343002281680608
200401	CHN	USA	2.598496161545462	3.2656142841499514	1.3457822489340945	2.1279863552229497	1.6892712550607263	2.007370909824545
200402	CHN	USA	3.0854024519233936	0.8911647281770766	2.066101398797675	2.0236221095246685	2.3478316326530577	8.475052658119107
200403	CHN	USA	2.54492930926256	0.636591335637447	1.2650442875663854	1.8902185064309098	1.6335526315789455	2.3220556239937125
200404	CHN	USA	2.4938218206807297	0.38468144682880206	1.4623003807545265	1.9079494074307632	1.7424639580602868	4.780442117611571
