Tue May  9 17:19:33 2023	Record: 918 modifications and 1439 deletes made while the cleansing of 20130528 day data.
Tue May  9 17:19:36 2023	Record: 829 modifications and 1721 deletes made while the cleansing of 20130529 day data.
Tue May  9 17:19:37 2023	Record: 772 modifications and 1442 deletes made while the cleansing of 20130530 day data.
Tue May  9 17:19:39 2023	Record: 559 modifications and 1556 deletes made while the cleansing of 20130531 day data.
Tue May  9 17:19:40 2023	Record: 313 modifications and 892 deletes made while the cleansing of 20130601 day data.
Tue May  9 17:19:42 2023	Record: 562 modifications and 747 deletes made while the cleansing of 20130602 day data.
Tue May  9 17:19:45 2023	Record: 1006 modifications and 1391 deletes made while the cleansing of 20130603 day data.
Tue May  9 17:19:48 2023	Record: 912 modifications and 1625 deletes made while the cleansing of 20130604 day data.
Tue May  9 17:19:51 2023	Record: 973 modifications and 1647 deletes made while the cleansing of 20130605 day data.
Tue May  9 17:19:53 2023	Record: 1933 modifications and 1426 deletes made while the cleansing of 20130606 day data.
Tue May  9 17:19:55 2023	Record: 1555 modifications and 1204 deletes made while the cleansing of 20130607 day data.
Tue May  9 17:20:00 2023	Record: 862 modifications and 718 deletes made while the cleansing of 20130608 day data.
Tue May  9 17:20:02 2023	Record: 1040 modifications and 922 deletes made while the cleansing of 20130609 day data.
Tue May  9 17:20:05 2023	Record: 1474 modifications and 1626 deletes made while the cleansing of 20130610 day data.
Tue May  9 17:20:09 2023	Record: 1409 modifications and 1816 deletes made while the cleansing of 20130611 day data.
Tue May  9 17:20:12 2023	Record: 1642 modifications and 1923 deletes made while the cleansing of 20130612 day data.
Tue May  9 17:20:15 2023	Record: 1912 modifications and 4871 deletes made while the cleansing of 20130613 day data.
Tue May  9 17:20:18 2023	Record: 1635 modifications and 4046 deletes made while the cleansing of 20130614 day data.
Tue May  9 17:20:23 2023	Record: 1027 modifications and 1919 deletes made while the cleansing of 20130615 day data.
Tue May  9 17:20:28 2023	Record: 1684 modifications and 1848 deletes made while the cleansing of 20130616 day data.
Tue May  9 17:20:32 2023	Record: 1564 modifications and 3005 deletes made while the cleansing of 20130617 day data.
Tue May  9 17:20:37 2023	Record: 1762 modifications and 2808 deletes made while the cleansing of 20130618 day data.
Tue May  9 17:20:40 2023	Record: 1825 modifications and 2438 deletes made while the cleansing of 20130619 day data.
Tue May  9 17:20:44 2023	Record: 2340 modifications and 3900 deletes made while the cleansing of 20130620 day data.
Tue May  9 17:20:49 2023	Record: 1830 modifications and 4242 deletes made while the cleansing of 20130621 day data.
Tue May  9 17:20:52 2023	Record: 1276 modifications and 2178 deletes made while the cleansing of 20130622 day data.
Tue May  9 17:20:56 2023	Record: 1418 modifications and 2748 deletes made while the cleansing of 20130623 day data.
Tue May  9 17:21:00 2023	Record: 1939 modifications and 1911 deletes made while the cleansing of 20130624 day data.
Tue May  9 17:21:04 2023	Record: 2258 modifications and 3294 deletes made while the cleansing of 20130625 day data.
Tue May  9 17:21:07 2023	Record: 2548 modifications and 2564 deletes made while the cleansing of 20130626 day data.
Tue May  9 17:21:11 2023	Record: 1865 modifications and 4405 deletes made while the cleansing of 20130627 day data.
Tue May  9 17:21:15 2023	Record: 1565 modifications and 4016 deletes made while the cleansing of 20130628 day data.
